,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-08,IND @ ATL,22,28,25,37,40,36,30,27
2,ext,2022-02-06,IND @ CLE,27,20,21,20,12,24,25,37
3,home,2022-02-04,IND vs. CHI,33,29,28,25,40,25,28,29
4,home,2022-02-02,IND vs. ORL,34,33,21,30,28,25,33,33
5,home,2022-01-31,IND vs. LAC,30,30,24,38,27,28,30,31
6,ext,2022-01-29,IND @ DAL,23,37,20,25,34,38,32,28
7,ext,2022-01-28,IND @ OKC,29,22,22,27,30,24,26,20
8,home,2022-01-26,IND vs. CHA,36,34,24,32,33,38,42,45
9,ext,2022-01-24,IND @ NOP,32,30,17,34,31,30,22,34
10,ext,2022-01-22,IND @ PHX,25,29,20,29,24,35,33,21
11,ext,2022-01-20,IND @ GSW,23,32,28,27,30,33,20,27
12,ext,2022-01-19,IND @ LAL,23,27,26,35,32,24,24,24
13,ext,2022-01-17,IND @ LAC,27,32,31,43,40,28,36,35
14,home,2022-01-14,IND vs. PHX,19,19,38,18,23,25,34,32
15,home,2022-01-12,IND vs. BOS,25,24,22,29,35,19,33,32
16,ext,2022-01-10,IND @ BOS,17,22,21,29,23,19,26,21
17,home,2022-01-08,IND vs. UTA,33,28,29,35,27,25,34,27
18,home,2022-01-05,IND vs. BKN,37,39,28,20,32,28,34,37
19,ext,2022-01-04,IND @ NYK,25,30,22,17,32,25,29,20
20,ext,2022-01-02,IND @ CLE,30,26,28,20,30,28,30,23
21,home,2021-12-31,IND vs. CHI,23,27,29,27,25,29,28,26
22,home,2021-12-29,IND vs. CHA,27,30,25,26,34,37,19,26
23,ext,2021-12-26,IND @ CHI,27,21,31,26,33,30,24,26
24,home,2021-12-23,IND vs. HOU,36,27,28,27,28,30,36,12
25,ext,2021-12-21,IND @ MIA,21,24,24,27,33,35,30,27
26,home,2021-12-16,IND vs. DET,32,38,33,19,29,35,27,22
27,ext,2021-12-15,IND @ MIL,33,20,34,12,33,25,29,27
28,home,2021-12-13,IND vs. GSW,29,26,29,16,25,22,33,22
29,home,2021-12-10,IND vs. DAL,22,34,26,24,26,28,26,13
30,home,2021-12-08,IND vs. NYK,36,34,26,26,29,28,19,26
31,home,2021-12-06,IND vs. WAS,28,30,30,28,18,29,31,32
32,home,2021-12-03,IND vs. MIA,25,30,26,23,32,30,30,21
33,home,2021-12-01,IND vs. ATL,29,28,31,23,38,27,22,27
34,ext,2021-11-29,IND @ MIN,26,31,19,22,20,28,30,22
35,home,2021-11-28,IND vs. MIL,26,21,27,26,26,26,39,27
36,home,2021-11-26,IND vs. TOR,31,35,26,22,35,22,24,16
37,home,2021-11-24,IND vs. LAL,31,35,18,28,26,34,22,30
38,ext,2021-11-22,IND @ CHI,31,36,24,20,16,30,15,16
39,home,2021-11-20,IND vs. NOP,32,26,38,15,19,27,18,30
40,ext,2021-11-19,IND @ CHA,22,26,37,33,27,36,35,23
41,ext,2021-11-17,IND @ DET,21,20,32,16,24,25,24,24
42,ext,2021-11-15,IND @ NYK,20,29,25,10,16,32,21,23
43,home,2021-11-13,IND vs. PHI,32,38,24,24,25,35,22,31
44,ext,2021-11-11,IND @ UTA,32,28,25,26,30,21,26,23
45,ext,2021-11-10,IND @ DEN,20,24,21,33,23,21,25,32
46,ext,2021-11-07,IND @ SAC,27,21,26,20,19,24,24,24
47,ext,2021-11-05,IND @ POR,19,34,30,23,24,35,23,28
48,home,2021-11-03,IND vs. NYK,36,23,21,31,22,28,25,23
49,home,2021-11-01,IND vs. SAS,43,35,31,22,33,23,27,35
50,home,2021-10-30,IND vs. TOR,25,22,19,28,22,24,21,30
51,ext,2021-10-29,IND @ BKN,38,17,19,24,26,32,27,20
52,ext,2021-10-27,IND @ TOR,24,24,23,29,29,28,30,31
53,home,2021-10-25,IND vs. MIL,30,27,29,23,34,32,35,18
54,home,2021-10-23,IND vs. MIA,28,28,8,22,24,22,17,23
55,ext,2021-10-22,IND @ WAS,36,37,23,27,32,41,33,17
56,ext,2021-10-20,IND @ CHA,38,40,13,34,27,32,33,31
57,home,2021-10-15,IND vs. CLE,26,21,20,27,35,25,23,27
58,home,2021-10-13,IND vs. MEM,28,24,32,25,22,35,33,17
59,ext,2021-10-08,IND @ CLE,32,31,23,23,29,30,16,25
60,ext,2021-10-05,IND @ NYK,26,29,25,24,36,31,34,24
61,ext,2021-08-16,IND @ WAS,20,14,21,19,5,12,15,22
62,ext,2021-08-14,IND @ OKC,15,28,24,28,14,18,18,11
63,ext,2021-08-12,IND @ POR,21,23,27,26,20,17,7,20
64,home,2021-08-10,IND vs. ATL,21,16,29,20,19,26,24,15
